Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Mika Biereth,21.0,dk DEN,Forward,Monaco,fr Ligue 1,16,13,2
Jaka Bijol,25.0,si SVN,Defender,Udinese,it Serie A,34,1,0
El Bilal Touré,22.0,ml MLI,"Forward, Midfielder",Stuttgart,de Bundesliga,12,2,1
Philip Billing,28.0,dk DEN,Midfielder,Napoli,it Serie A,10,1,0
Cristiano Biraghi,31.0,it ITA,Defender,Fiorentina,it Serie A,8,1,0
Samuele Birindelli,25.0,it ITA,"Defender, Midfielder",Monza,it Serie A,21,3,0
Tom Bischof,19.0,de GER,"Midfielder, Forward",Hoffenheim,de Bundesliga,31,5,2
Yves Bissouma,27.0,ml MLI,Midfielder,Tottenham,eng Premier League,28,2,0
Leonardo Bittencourt,30.0,de GER,Midfielder,Werder Bremen,de Bundesliga,27,2,1
Emmanuel Biumla,19.0,fr FRA,Defender,Angers,fr Ligue 1,17,1,0
Marco Bizot,33.0,nl NED,Goalkeeper,Brest,fr Ligue 1,32,0,0
Bjarki Bjarkason,24.0,is ISL,"Defender, Midfielder",Venezia,it Serie A,9,0,0
Antonio Blanco,24.0,es ESP,Midfielder,Alavés,es La Liga,35,0,1
Ludovic Blas,26.0,fr FRA,"Midfielder, Forward",Rennes,fr Ligue 1,29,6,8
Daley Blind,34.0,nl NED,Defender,Girona,es La Liga,34,0,2
Myron Boadu,23.0,nl NED,Forward,Bochum,de Bundesliga,19,9,1
Augustine Boakye,23.0,gh GHA,"Forward, Midfielder",Saint-Étienne,fr Ligue 1,17,3,0
Oscar Bobb,21.0,no NOR,Forward,Manchester City,eng Premier League,3,0,0
Mathéo Bodmer,20.0,fr FRA,Midfielder,Le Havre,fr Ligue 1,1,0,0
Sacha Boey,23.0,fr FRA,Defender,Bayern Munich,de Bundesliga,13,0,2
